co_tom,sh4,n_linhas,n_mun_candidatos,concentracao,cnpj_basico,razao_social,nome_fantasia,fuzzy_score,palavras_chave,confianca,score
7145,7415,610,1,1.0,27380926,ONA ESSENZA LTDA,ONA ESSENZA,0.6086956521739131,OILITE EESPACADORES ESSENZA TURBOCHARGE HAWKE HARWIN,baixa,0.8239130434782609
7107,6108,152,1,1.0,18038595,JEITO DE DORMIR COMERCIO DE PIJAMA LTDA,JEITO DE DORMIR COMERCIO DE PIJAMA LTDA,0.6075949367088608,PENHOAR DORMIR CAMISOLA FAIRLY PIJAMA TULLE,baixa,0.8234177215189873
6477,6402,1569,1,1.0,60064718,MS GRID TRANSITION LTDA,,0.6060606060606061,STRAWBER BRASI TRANSITION HAVAIANAS MUULTICOLOR SANDALIAD,baixa,0.8227272727272728
7145,6903,119,1,1.0,05536633,LCS INJECAO TERMOPLASTICA LTDA,,0.6046511627906976,NELES METSO ESPIRALADA GRAFITE TERMOPLASTICA PTFE,baixa,0.8220930232558139
1389,7009,91,1,1.0,05509577,CABYTE DADOS E PROCESSAMENTOS LTDA,,0.6444444444444444,ESPIÃO CRITAL FILETADO PROCESSAMENTOS EMOLDURADO ESPELHO,baixa,0.822
8089,5807,230,1,1.0,51654313,VERSAR TRADUCOES LTDA,,0.6,WLZWPRD PAEO CLZCDEN PATR TRADUCOES AALTA,baixa,0.8200000000000001
7107,9209,224,1,1.0,07918795,TAMARINDO DESIGN LTDA,,0.6,ARUNDO DONAX SAXOFONES TAMARINDO MARSALE PARAINSTRUMENTO,baixa,0.8200000000000001
6713,2507,9532,1,1.0,52553245,ASR CERAMICA LTDA,CERAMICA VILA SUICA,0.6,CAULÍNICA ARGILA CAULINICA VELA CAULINÍTICA CERAMICA,baixa,0.8200000000000001
7107,1902,342,1,1.0,68093803,MEGUMI 3D LTDA,MEGUMI 3D,0.6,SUNAOSHI TONKOTSU DAICHINO MEGUMI HONOKUNI IBOGAWA,baixa,0.8200000000000001
6213,4821,158,1,1.0,63319135,Etiqueta Facil LTDA,,0.5925925925925926,YUPO HPMC INFORMAÇÃO ETIQUETA PLANA RADIOS,baixa,0.8166666666666667
7107,3215,133,1,1.0,63159657,BLACK AMETHYST LTDA,BLACK AMETHYST,0.5925925925925926,NUTEC AMETHYST TECIDOSMISTOS ARIGI TOPAZ METHOXYPROPYL,baixa,0.8166666666666667
7075,7311,244,1,1.0,48307624,PLANO CHEMOURS PREV,,0.5925925925925926,RSPQ CHEMOURS SRCX INTERDEPENDENTES LIQUIDOACUMULADOR OCOMPRESSOR,baixa,0.8166666666666667
6477,3907,146,1,1.0,05660045,EDITORA INTRINSECA LTDA.,,0.5882352941176471,MIXTO INTRÍNSECA FLAKES INTRISECA INTRINSECA FLAKE,baixa,0.8147058823529412
7107,9503,28580,1,1.0,11187453,VENDMANIA IMPORTACAO E EXPORTACAO LTDA,,0.5853658536585367,METOO BRNQUEDO BENIC PONTODAS VENDMANIA CREC,baixa,0.8134146341463415
7107,2106,100,1,1.0,30145063,ESCONDIDINHO DO NORDESTE LTDA,ESCONDIDINHO DO NORDESTE,0.5853658536585367,FRUGURT VITAGOMAS TURAL INELATTE CHEWS ESCONDIDINHO,baixa,0.8134146341463415
5343,7415,309,2,0.9967602591792657,18096998,POLIRIM FABRICACAO DE ARTEFATOS PLASTICOS LTDA,,0.5858585858585859,OTUBO ARTEFATOROSCADO TRAVEMENTO LATAO ARTEFATO SPLIT,baixa,0.8125024543491066
6001,2208,286,1,1.0,09551380,ADVOCACIA XIMENES,,0.5833333333333334,BOTRAN XIMENES DEVERON CACHACAS AMAZZONI PITU,baixa,0.8125
7535,9404,5198,1,1.0,16797186,MABELLE DE CASTRO,,0.5833333333333334,MABELLE KAYBEE ACOMPANHADOSDE JANYS DIMAS PBSB,baixa,0.8125
